Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,location,City,Base_Model,DemandScore,days_in_inventory,past_demand,days_on_platform
ritz,2014,3.35,5.59,27000,Petrol,Dealer,Manual,0,Pune,Mumbai,ritz,90,26,97,20
sx4,2013,4.75,9.54,43000,Diesel,Dealer,Manual,0,Jaipur,Chennai,sx4,66,145,71,55
ciaz,2017,7.25,9.85,6900,Petrol,Dealer,Manual,0,Kolkata,Chennai,ciaz,92,31,85,84
wagon r,2011,2.85,4.15,5200,Petrol,Dealer,Manual,0,Bangalore,Jaipur,wagon r,95,102,90,39
swift,2014,4.6,6.87,42450,Diesel,Dealer,Manual,0,Lucknow,Hyderabad,swift,92,79,95,30
vitara brezza,2018,9.25,9.83,2071,Diesel,Dealer,Manual,0,Hyderabad,Pune,vitara brezza,47,131,38,38
ciaz,2015,6.75,8.12,18796,Petrol,Dealer,Manual,0,Ahmedabad,Jaipur,ciaz,33,54,37,10
s cross,2015,6.5,8.61,33429,Diesel,Dealer,Manual,0,Mumbai,Pune,s cross,58,35,54,40
ciaz,2016,8.75,8.89,20273,Diesel,Dealer,Manual,0,Kolkata,Kolkata,ciaz,77,50,80,80
ciaz,2015,7.45,8.92,42367,Diesel,Dealer,Manual,0,Hyderabad,Kolkata,ciaz,77,142,83,15
alto 800,2017,2.85,3.6,2135,Petrol,Dealer,Manual,0,Bangalore,Chennai,alto 800,73,108,71,17
ciaz,2015,6.85,10.38,51000,Diesel,Dealer,Manual,0,Kolkata,Hyderabad,ciaz,44,48,36,77
ciaz,2015,7.5,9.94,15000,Petrol,Dealer,Automatic,0,Mumbai,Mumbai,ciaz,83,68,85,58
ertiga,2015,6.1,7.71,26000,Petrol,Dealer,Manual,0,Bangalore,Jaipur,ertiga,67,132,62,77
dzire,2009,2.25,7.21,77427,Petrol,Dealer,Manual,0,Chennai,Pune,dzire,73,114,69,74
ertiga,2016,7.75,10.79,43000,Diesel,Dealer,Manual,0,Jaipur,Lucknow,ertiga,87,75,88,10
ertiga,2015,7.25,10.79,41678,Diesel,Dealer,Manual,0,Chennai,Kolkata,ertiga,53,148,52,32
ertiga,2016,7.75,10.79,43000,Diesel,Dealer,Manual,0,Delhi,Delhi,ertiga,83,28,75,14
wagon r,2015,3.25,5.09,35500,CNG,Dealer,Manual,0,Bangalore,Jaipur,wagon r,95,90,97,33
sx4,2010,2.65,7.98,41442,Petrol,Dealer,Manual,0,Mumbai,Ahmedabad,sx4,39,70,29,78
alto k10,2016,2.85,3.95,25000,Petrol,Dealer,Manual,0,Pune,Jaipur,alto k10,38,58,28,54
ignis,2017,4.9,5.71,2400,Petrol,Dealer,Manual,0,Chennai,Pune,ignis,94,56,90,68
sx4,2011,4.4,8.01,50000,Petrol,Dealer,Automatic,0,Delhi,Kolkata,sx4,77,88,75,79
alto k10,2014,2.5,3.46,45280,Petrol,Dealer,Manual,0,Pune,Pune,alto k10,53,104,51,30
wagon r,2013,2.9,4.41,56879,Petrol,Dealer,Manual,0,Ahmedabad,Delhi,wagon r,45,101,49,26
swift,2011,3.0,4.99,20000,Petrol,Dealer,Manual,0,Hyderabad,Delhi,swift,58,25,50,27
swift,2013,4.15,5.87,55138,Petrol,Dealer,Manual,0,Delhi,Kolkata,swift,86,21,95,41
swift,2017,6.0,6.49,16200,Petrol,Individual,Manual,0,Hyderabad,Hyderabad,swift,92,42,83,73
alto k10,2010,1.95,3.95,44542,Petrol,Dealer,Manual,0,Kolkata,Kolkata,alto k10,42,20,46,15
ciaz,2015,7.45,10.38,45000,Diesel,Dealer,Manual,0,Chennai,Lucknow,ciaz,94,40,99,68
ritz,2012,3.1,5.98,51439,Diesel,Dealer,Manual,0,Delhi,Hyderabad,ritz,35,82,34,71
ritz,2011,2.35,4.89,54200,Petrol,Dealer,Manual,0,Jaipur,Hyderabad,ritz,35,30,42,39
swift,2014,4.95,7.49,39000,Diesel,Dealer,Manual,0,Lucknow,Hyderabad,swift,92,91,94,27
ertiga,2014,6.0,9.95,45000,Diesel,Dealer,Manual,0,Chennai,Kolkata,ertiga,53,72,46,63
dzire,2014,5.5,8.06,45000,Diesel,Dealer,Manual,0,Pune,Bangalore,dzire,40,108,48,12
sx4,2011,2.95,7.74,49998,CNG,Dealer,Manual,0,Bangalore,Chennai,sx4,66,130,62,56
dzire,2015,4.65,7.2,48767,Petrol,Dealer,Manual,0,Pune,Mumbai,dzire,88,48,91,36
800,2003,0.35,2.28,127000,Petrol,Individual,Manual,0,Jaipur,Lucknow,800,46,57,44,15
alto k10,2016,3.0,3.76,10079,Petrol,Dealer,Manual,0,Jaipur,Kolkata,alto k10,42,144,42,57
sx4,2003,2.25,7.98,62000,Petrol,Dealer,Manual,0,Lucknow,Hyderabad,sx4,53,82,45,67
baleno,2016,5.85,7.87,24524,Petrol,Dealer,Automatic,0,Pune,Kolkata,baleno,63,60,54,84
alto k10,2014,2.55,3.98,46706,Petrol,Dealer,Manual,0,Pune,Kolkata,alto k10,42,146,40,36
sx4,2008,1.95,7.15,58000,Petrol,Dealer,Manual,0,Hyderabad,Chennai,sx4,66,54,68,62
dzire,2014,5.5,8.06,45780,Diesel,Dealer,Manual,0,Lucknow,Pune,dzire,73,63,79,80
omni,2012,1.25,2.69,50000,Petrol,Dealer,Manual,0,Bangalore,Mumbai,omni,78,133,71,67
ciaz,2014,7.5,12.04,15000,Petrol,Dealer,Automatic,0,Kolkata,Pune,ciaz,95,88,92,35
ritz,2013,2.65,4.89,64532,Petrol,Dealer,Manual,0,Hyderabad,Ahmedabad,ritz,34,132,42,30
wagon r,2006,1.05,4.15,65000,Petrol,Dealer,Manual,0,Bangalore,Chennai,wagon r,50,136,54,18
ertiga,2015,5.8,7.71,25870,Petrol,Dealer,Manual,0,Pune,Lucknow,ertiga,87,75,79,73
ciaz,2017,7.75,9.29,37000,Petrol,Dealer,Automatic,0,Mumbai,Pune,ciaz,95,149,93,66
fortuner,2012,14.9,30.61,104707,Diesel,Dealer,Automatic,0,Bangalore,Bangalore,fortuner,60,133,68,39
fortuner,2015,23.0,30.61,40000,Diesel,Dealer,Automatic,0,Delhi,Jaipur,fortuner,84,106,81,41
innova,2017,18.0,19.77,15000,Diesel,Dealer,Automatic,0,Pune,Ahmedabad,innova,34,142,24,67
fortuner,2013,16.0,30.61,135000,Diesel,Individual,Automatic,0,Kolkata,Jaipur,fortuner,84,128,88,45
innova,2005,2.75,10.21,90000,Petrol,Individual,Manual,0,Mumbai,Chennai,innova,63,25,67,67
corolla altis,2009,3.6,15.04,70000,Petrol,Dealer,Automatic,0,Ahmedabad,Chennai,corolla altis,76,136,66,52
etios cross,2015,4.5,7.27,40534,Petrol,Dealer,Manual,0,Delhi,Jaipur,etios cross,62,20,65,55
corolla altis,2010,4.75,18.54,50000,Petrol,Dealer,Manual,0,Jaipur,Chennai,corolla altis,76,41,80,27
etios g,2014,4.1,6.8,39485,Petrol,Dealer,Manual,1,Delhi,Jaipur,etios g,47,88,47,23
fortuner,2014,19.99,35.96,41000,Diesel,Dealer,Automatic,0,Hyderabad,Mumbai,fortuner,74,91,73,83
corolla altis,2013,6.95,18.61,40001,Petrol,Dealer,Manual,0,Hyderabad,Chennai,corolla altis,76,66,76,27
etios cross,2015,4.5,7.7,40588,Petrol,Dealer,Manual,0,Pune,Pune,etios cross,92,107,101,22
fortuner,2014,18.75,35.96,78000,Diesel,Dealer,Automatic,0,Kolkata,Lucknow,fortuner,30,70,22,15
fortuner,2015,23.5,35.96,47000,Diesel,Dealer,Automatic,0,Pune,Ahmedabad,fortuner,52,113,44,82
fortuner,2017,33.0,36.23,6000,Diesel,Dealer,Automatic,0,Jaipur,Mumbai,fortuner,74,20,78,66
etios liva,2014,4.75,6.95,45000,Diesel,Dealer,Manual,0,Ahmedabad,Ahmedabad,etios liva,66,39,65,75
innova,2017,19.75,23.15,11000,Petrol,Dealer,Automatic,0,Jaipur,Hyderabad,innova,55,71,54,25
fortuner,2010,9.25,20.45,59000,Diesel,Dealer,Manual,0,Jaipur,Hyderabad,fortuner,85,91,84,66
corolla altis,2011,4.35,13.74,88000,Petrol,Dealer,Manual,0,Mumbai,Bangalore,corolla altis,49,112,54,68
corolla altis,2016,14.25,20.91,12000,Petrol,Dealer,Manual,0,Lucknow,Ahmedabad,corolla altis,84,123,79,14
etios liva,2014,3.95,6.76,71000,Diesel,Dealer,Manual,0,Mumbai,Kolkata,etios liva,85,129,75,56
corolla altis,2011,4.5,12.48,45000,Diesel,Dealer,Manual,0,Ahmedabad,Kolkata,corolla altis,64,84,57,22
corolla altis,2013,7.45,18.61,56001,Petrol,Dealer,Manual,0,Chennai,Hyderabad,corolla altis,66,125,74,85
etios liva,2011,2.65,5.71,43000,Petrol,Dealer,Manual,0,Jaipur,Bangalore,etios liva,58,142,66,66
etios cross,2014,4.9,8.93,83000,Diesel,Dealer,Manual,0,Chennai,Mumbai,etios cross,62,45,62,17
etios g,2015,3.95,6.8,36000,Petrol,Dealer,Manual,0,Chennai,Bangalore,etios g,63,106,61,83
corolla altis,2013,5.5,14.68,72000,Petrol,Dealer,Manual,0,Chennai,Lucknow,corolla altis,30,69,38,69
corolla,2004,1.5,12.35,135154,Petrol,Dealer,Automatic,0,Delhi,Ahmedabad,corolla,78,106,80,53
corolla altis,2010,5.25,22.83,80000,Petrol,Dealer,Automatic,0,Jaipur,Chennai,corolla altis,76,144,78,51
fortuner,2012,14.5,30.61,89000,Diesel,Dealer,Automatic,0,Chennai,Mumbai,fortuner,74,46,78,75
corolla altis,2016,14.73,14.89,23000,Diesel,Dealer,Manual,0,Hyderabad,Hyderabad,corolla altis,66,22,59,65
etios gd,2015,4.75,7.85,40000,Diesel,Dealer,Manual,0,Jaipur,Chennai,etios gd,54,53,58,75
innova,2017,23.0,25.39,15000,Diesel,Dealer,Automatic,0,Chennai,Ahmedabad,innova,34,141,29,18
innova,2015,12.5,13.46,38000,Diesel,Dealer,Manual,0,Chennai,Lucknow,innova,47,29,41,88
innova,2005,3.49,13.46,197176,Diesel,Dealer,Manual,0,Bangalore,Delhi,innova,35,126,25,79
camry,2006,2.5,23.73,142000,Petrol,Individual,Automatic,3,Mumbai,Chennai,camry,72,59,73,14
land cruiser,2010,35.0,92.6,78000,Diesel,Dealer,Manual,0,Ahmedabad,Mumbai,land cruiser,78,57,72,84
corolla altis,2012,5.9,13.74,56000,Petrol,Dealer,Manual,0,Lucknow,Lucknow,corolla altis,30,104,31,74
etios liva,2013,3.45,6.05,47000,Petrol,Dealer,Manual,0,Kolkata,Delhi,etios liva,60,144,54,35
etios g,2014,4.75,6.76,40000,Petrol,Dealer,Manual,0,Mumbai,Delhi,etios g,77,144,75,19
corolla altis,2009,3.8,18.61,62000,Petrol,Dealer,Manual,0,Bangalore,Mumbai,corolla altis,70,117,75,18
innova,2014,11.25,16.09,58242,Diesel,Dealer,Manual,0,Hyderabad,Delhi,innova,35,133,27,20
innova,2005,3.51,13.7,75000,Petrol,Dealer,Manual,0,Ahmedabad,Jaipur,innova,66,106,70,19
fortuner,2015,23.0,30.61,40000,Diesel,Dealer,Automatic,0,Pune,Kolkata,fortuner,38,36,46,47
corolla altis,2008,4.0,22.78,89000,Petrol,Dealer,Automatic,0,Bangalore,Chennai,corolla altis,76,34,77,19
corolla altis,2012,5.85,18.61,72000,Petrol,Dealer,Manual,0,Chennai,Delhi,corolla altis,75,20,69,56
innova,2016,20.75,25.39,29000,Diesel,Dealer,Automatic,0,Delhi,Mumbai,innova,58,20,48,25
corolla altis,2017,17.0,18.64,8700,Petrol,Dealer,Manual,0,Pune,Pune,corolla altis,40,72,46,51
corolla altis,2013,7.05,18.61,45000,Petrol,Dealer,Manual,0,Hyderabad,Jaipur,corolla altis,40,92,35,45
fortuner,2010,9.65,20.45,50024,Diesel,Dealer,Manual,0,Hyderabad,Delhi,fortuner,57,127,48,31
Royal Enfield Thunder 500,2016,1.75,1.9,3000,Petrol,Individual,Manual,0,Jaipur,Kolkata,royal enfield,75,80,76,23
UM Renegade Mojave,2017,1.7,1.82,1400,Petrol,Individual,Manual,0,Lucknow,Pune,um renegade,58,52,58,27
KTM RC200,2017,1.65,1.78,4000,Petrol,Individual,Manual,0,Ahmedabad,Delhi,ktm rc200,58,43,56,74
Bajaj Dominar 400,2017,1.45,1.6,1200,Petrol,Individual,Manual,0,Jaipur,Pune,bajaj dominar,72,66,78,32
Royal Enfield Classic 350,2017,1.35,1.47,4100,Petrol,Individual,Manual,0,Jaipur,Hyderabad,royal enfield,33,93,26,11
KTM RC390,2015,1.35,2.37,21700,Petrol,Individual,Manual,0,Delhi,Delhi,ktm rc390,45,119,49,34
Hyosung GT250R,2014,1.35,3.45,16500,Petrol,Individual,Manual,1,Kolkata,Ahmedabad,hyosung gt250r,83,115,77,35
Royal Enfield Thunder 350,2013,1.25,1.5,15000,Petrol,Individual,Manual,0,Chennai,Jaipur,royal enfield,86,110,82,61
Royal Enfield Thunder 350,2016,1.2,1.5,18000,Petrol,Individual,Manual,0,Hyderabad,Bangalore,royal enfield,58,107,61,38
Royal Enfield Classic 350,2017,1.2,1.47,11000,Petrol,Individual,Manual,0,Ahmedabad,Pune,royal enfield,95,114,88,14
KTM RC200,2016,1.2,1.78,6000,Petrol,Individual,Manual,0,Chennai,Delhi,ktm rc200,58,84,52,50
Royal Enfield Thunder 350,2016,1.15,1.5,8700,Petrol,Individual,Manual,0,Jaipur,Ahmedabad,royal enfield,83,147,83,62
KTM 390 Duke ,2014,1.15,2.4,7000,Petrol,Individual,Manual,0,Pune,Kolkata,ktm 390,55,31,51,79
Mahindra Mojo XT300,2016,1.15,1.4,35000,Petrol,Individual,Manual,0,Hyderabad,Ahmedabad,mahindra mojo,41,36,39,15
Royal Enfield Classic 350,2015,1.15,1.47,17000,Petrol,Individual,Manual,0,Bangalore,Kolkata,royal enfield,75,115,74,12
Royal Enfield Classic 350,2015,1.11,1.47,17500,Petrol,Individual,Manual,0,Mumbai,Chennai,royal enfield,42,83,38,52
Royal Enfield Classic 350,2013,1.1,1.47,33000,Petrol,Individual,Manual,0,Hyderabad,Jaipur,royal enfield,86,107,89,68
Royal Enfield Thunder 500,2015,1.1,1.9,14000,Petrol,Individual,Manual,0,Chennai,Hyderabad,royal enfield,33,65,36,37
Royal Enfield Classic 350,2015,1.1,1.47,26000,Petrol,Individual,Manual,0,Lucknow,Hyderabad,royal enfield,33,123,25,15
Royal Enfield Thunder 500,2013,1.05,1.9,5400,Petrol,Individual,Manual,0,Mumbai,Ahmedabad,royal enfield,83,28,88,16
Bajaj Pulsar RS200,2016,1.05,1.26,5700,Petrol,Individual,Manual,0,Chennai,Mumbai,bajaj pulsar,38,60,28,22
Royal Enfield Thunder 350,2011,1.05,1.5,6900,Petrol,Individual,Manual,0,Ahmedabad,Jaipur,royal enfield,86,106,76,63
Royal Enfield Bullet 350,2016,1.05,1.17,6000,Petrol,Individual,Manual,0,Ahmedabad,Ahmedabad,royal enfield,83,85,76,67
Royal Enfield Classic 350,2013,1.0,1.47,46500,Petrol,Individual,Manual,0,Delhi,Ahmedabad,royal enfield,83,21,88,17
Royal Enfield Classic 500,2012,0.95,1.75,11500,Petrol,Individual,Manual,0,Kolkata,Mumbai,royal enfield,40,134,40,29
Royal Enfield Classic 500,2009,0.9,1.75,40000,Petrol,Individual,Manual,0,Ahmedabad,Delhi,royal enfield,84,90,87,86
Bajaj Avenger 220,2017,0.9,0.95,1300,Petrol,Individual,Manual,0,Bangalore,Mumbai,bajaj avenger,46,139,44,59
Bajaj Avenger 150,2016,0.75,0.8,7000,Petrol,Individual,Manual,0,Bangalore,Ahmedabad,bajaj avenger,50,70,40,85
Honda CB Hornet 160R,2017,0.8,0.87,3000,Petrol,Individual,Manual,0,Mumbai,Kolkata,honda cb,53,89,45,35
Yamaha FZ S V 2.0,2017,0.78,0.84,5000,Petrol,Individual,Manual,0,Mumbai,Jaipur,yamaha fz,38,118,35,38
Honda CB Hornet 160R,2017,0.75,0.87,11000,Petrol,Individual,Manual,0,Chennai,Lucknow,honda cb,45,22,50,50
Yamaha FZ 16,2015,0.75,0.82,18000,Petrol,Individual,Manual,0,Bangalore,Jaipur,yamaha fz,38,67,44,81
Bajaj Avenger 220,2017,0.75,0.95,3500,Petrol,Individual,Manual,0,Hyderabad,Mumbai,bajaj avenger,46,83,38,61
Bajaj Avenger 220,2016,0.72,0.95,500,Petrol,Individual,Manual,0,Delhi,Hyderabad,bajaj avenger,65,53,73,35
TVS Apache RTR 160,2017,0.65,0.81,11800,Petrol,Individual,Manual,0,Pune,Ahmedabad,tvs apache,78,20,75,69
Bajaj Pulsar 150,2015,0.65,0.74,5000,Petrol,Individual,Manual,0,Delhi,Pune,bajaj pulsar,90,91,89,74
Honda CBR 150,2014,0.65,1.2,23500,Petrol,Individual,Manual,0,Delhi,Jaipur,honda cbr,44,59,40,88
Hero Extreme,2013,0.65,0.787,16000,Petrol,Individual,Manual,0,Lucknow,Kolkata,hero extreme,44,91,51,27
Honda CB Hornet 160R,2016,0.6,0.87,15000,Petrol,Individual,Manual,0,Pune,Jaipur,honda cb,71,22,71,78
Bajaj Avenger 220 dtsi,2015,0.6,0.95,16600,Petrol,Individual,Manual,0,Ahmedabad,Jaipur,bajaj avenger,87,107,89,72
Honda CBR 150,2013,0.6,1.2,32000,Petrol,Individual,Manual,0,Jaipur,Jaipur,honda cbr,44,45,39,49
Bajaj Avenger 150 street,2016,0.6,0.8,20000,Petrol,Individual,Manual,0,Hyderabad,Mumbai,bajaj avenger,46,77,51,15
Yamaha FZ  v 2.0,2015,0.6,0.84,29000,Petrol,Individual,Manual,0,Jaipur,Bangalore,yamaha fz,42,139,45,80
Yamaha FZ  v 2.0,2016,0.6,0.84,25000,Petrol,Individual,Manual,0,Jaipur,Lucknow,yamaha fz,83,66,91,58
Bajaj Pulsar  NS 200,2014,0.6,0.99,25000,Petrol,Individual,Manual,0,Hyderabad,Lucknow,bajaj pulsar,58,115,62,29
